epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,600.652,1.32853,2.86181,1.47413,1.37728,0.78634,0.54165,0.6746,0.44612,0.78269,0.53909,0.65655,0.35455,1.26543,2.26238,1.2889,1.25444,0.0096139,0.0096139,0.0096139
80,608.159,1.32043,2.88711,1.43502,1.36481,0.7378,0.57532,0.68042,0.45225,0.72941,0.56758,0.64649,0.35547,1.20077,2.1916,1.24382,1.22057,0.00960895,0.00960895,0.00960895
81,615.651,1.30276,2.89251,1.45009,1.36391,0.77661,0.60899,0.7058,0.46793,0.74892,0.58815,0.66365,0.36265,1.21615,2.269,1.23655,1.22546,0.009604,0.009604,0.009604
82,623.127,1.30709,2.86047,1.42133,1.3594,0.72458,0.63044,0.69262,0.45782,0.69919,0.63057,0.66691,0.35858,1.20407,2.16892,1.22455,1.2334,0.00959905,0.00959905,0.00959905
83,630.533,1.31596,2.89858,1.47122,1.38527,0.72119,0.64714,0.71381,0.46938,0.6952,0.61298,0.66597,0.34822,1.19076,2.1441,1.20436,1.22258,0.0095941,0.0095941,0.0095941
84,638.044,1.29498,2.82097,1.41983,1.35128,0.60078,0.69177,0.68552,0.43998,0.70109,0.5794,0.67104,0.34319,1.2144,2.17973,1.31042,1.22955,0.00958915,0.00958915,0.00958915
85,645.541,1.2978,2.80468,1.39864,1.35281,0.78476,0.56487,0.68574,0.44274,0.78907,0.55203,0.66262,0.33815,1.22334,2.22927,1.29903,1.22648,0.0095842,0.0095842,0.0095842
86,652.69,1.28588,2.82081,1.40241,1.3436,0.75634,0.564,0.68063,0.44518,0.75605,0.55548,0.65637,0.35074,1.20341,2.16225,1.25152,1.22166,0.00957925,0.00957925,0.00957925
87,658.695,1.29076,2.87537,1.42447,1.36614,0.76698,0.61567,0.70861,0.47017,0.73216,0.6001,0.67724,0.35864,1.17969,2.14818,1.22769,1.21913,0.0095743,0.0095743,0.0095743
88,664.794,1.29054,2.80921,1.39681,1.34493,0.78161,0.5889,0.68085,0.44236,0.75901,0.56243,0.64537,0.33585,1.20469,2.17454,1.2527,1.21326,0.00956935,0.00956935,0.00956935
89,670.861,1.28171,2.82391,1.39571,1.3366,0.61824,0.60276,0.64587,0.41873,0.60924,0.58883,0.61358,0.33032,1.26213,2.36508,1.33748,1.26799,0.0095644,0.0095644,0.0095644
90,678.268,1.27019,2.75705,1.35129,1.32503,0.71922,0.62089,0.68612,0.44566,0.70626,0.60155,0.65705,0.37104,1.21405,2.2434,1.2299,1.20208,0.00955945,0.00955945,0.00955945
91,685.112,1.28444,2.8307,1.39785,1.34171,0.69976,0.62961,0.68875,0.45142,0.67535,0.60594,0.65524,0.35296,1.20373,2.13188,1.21964,1.2056,0.0095545,0.0095545,0.0095545
92,691.073,1.25342,2.70337,1.35082,1.32954,0.77381,0.6058,0.71767,0.47454,0.77564,0.58742,0.68416,0.36389,1.16027,2.01391,1.14525,1.17888,0.00954955,0.00954955,0.00954955
93,697.069,1.26217,2.84398,1.37996,1.33799,0.7305,0.6681,0.72448,0.46971,0.69962,0.65323,0.703,0.37043,1.16432,2.06715,1.13288,1.18579,0.0095446,0.0095446,0.0095446
94,703.273,1.27718,2.794,1.38035,1.34525,0.75824,0.65652,0.71986,0.49106,0.73226,0.64441,0.70742,0.38111,1.15213,2.09146,1.13277,1.17989,0.00953965,0.00953965,0.00953965
95,709.64,1.24523,2.67486,1.32967,1.31847,0.79862,0.58134,0.7152,0.48022,0.78742,0.57086,0.69393,0.36349,1.1432,2.07148,1.13307,1.18226,0.0095347,0.0095347,0.0095347
96,715.661,1.23846,2.67767,1.30362,1.29525,0.76804,0.64988,0.74941,0.49915,0.75045,0.64605,0.72408,0.38749,1.12945,2.06104,1.11179,1.1497,0.00952975,0.00952975,0.00952975
97,721.762,1.25703,2.77588,1.36699,1.33551,0.75525,0.67349,0.7412,0.5072,0.74678,0.66478,0.71615,0.38405,1.12831,2.04724,1.10682,1.16954,0.0095248,0.0095248,0.0095248
98,728.004,1.22956,2.67723,1.3093,1.31382,0.71183,0.66423,0.72209,0.48158,0.69863,0.65184,0.69449,0.36695,1.17245,2.08301,1.16008,1.20047,0.00951985,0.00951985,0.00951985
99,733.974,1.24698,2.72719,1.34295,1.32969,0.6977,0.63887,0.70189,0.45078,0.80636,0.5457,0.65919,0.34752,1.23936,2.2399,1.23913,1.24326,0.0095149,0.0095149,0.0095149
100,740.044,1.27254,2.778,1.3578,1.33876,0.80314,0.56302,0.69751,0.46234,0.76592,0.54123,0.64627,0.34215,1.19424,2.29519,1.22722,1.21018,0.00950995,0.00950995,0.00950995
101,746.075,1.2567,2.77041,1.34994,1.32702,0.75367,0.63009,0.72465,0.46885,0.72896,0.62907,0.68606,0.34717,1.2137,2.26701,1.23055,1.23695,0.009505,0.009505,0.009505
102,753.331,1.27574,2.86535,1.3981,1.35902,0.8068,0.63873,0.74483,0.49481,0.78496,0.65422,0.72867,0.37964,1.15491,2.06562,1.14549,1.18568,0.00950005,0.00950005,0.00950005
103,760.774,1.25418,2.74925,1.33848,1.33575,0.81975,0.65513,0.74614,0.4915,0.81927,0.64908,0.72543,0.39822,1.15281,1.98783,1.10293,1.16073,0.0094951,0.0094951,0.0094951
104,768.275,1.22425,2.68721,1.30895,1.30538,0.80715,0.65527,0.75103,0.50096,0.80015,0.65093,0.7427,0.39501,1.15763,1.99175,1.05133,1.17058,0.00949015,0.00949015,0.00949015
105,775.726,1.23812,2.72602,1.31359,1.31328,0.82458,0.59143,0.70499,0.46348,0.82278,0.56364,0.66718,0.35676,1.19835,2.22972,1.16627,1.19289,0.0094852,0.0094852,0.0094852
106,783.107,1.22443,2.73678,1.31706,1.31229,0.84189,0.63666,0.76274,0.50973,0.83322,0.63322,0.74898,0.40572,1.13981,2.00472,1.07096,1.15704,0.00948025,0.00948025,0.00948025
107,790.439,1.24707,2.73922,1.3426,1.31621,0.78845,0.70872,0.78274,0.52323,0.77968,0.68723,0.74626,0.39853,1.13142,1.97519,1.03327,1.15165,0.0094753,0.0094753,0.0094753
108,797.884,1.22372,2.66871,1.28374,1.29117,0.80418,0.67842,0.75665,0.50047,0.80076,0.66917,0.73246,0.38143,1.15918,2.04051,1.09636,1.16146,0.00947035,0.00947035,0.00947035
109,803.983,1.20772,2.6632,1.29029,1.30061,0.7424,0.68489,0.74569,0.4865,0.73923,0.67177,0.71315,0.38731,1.15399,2.01498,1.06136,1.16933,0.0094654,0.0094654,0.0094654
110,810.031,1.2501,2.75494,1.3508,1.3342,0.6635,0.54647,0.64546,0.41809,0.6467,0.54676,0.61485,0.32612,1.28592,2.38383,1.32061,1.29295,0.00946045,0.00946045,0.00946045
111,816.171,1.23228,2.7058,1.30023,1.30587,0.76736,0.6093,0.70113,0.44616,0.72989,0.59891,0.66267,0.34945,1.21074,2.1814,1.21948,1.22457,0.0094555,0.0094555,0.0094555
112,823.213,1.22015,2.67346,1.27011,1.29231,0.78741,0.63969,0.73841,0.50292,0.76391,0.66505,0.72272,0.38665,1.11186,2.02944,1.05862,1.13899,0.00945055,0.00945055,0.00945055
113,830.567,1.23871,2.70561,1.29338,1.31003,0.79488,0.66405,0.76302,0.51517,0.77823,0.64848,0.71179,0.39497,1.11419,2.02388,1.02022,1.12584,0.0094456,0.0094456,0.0094456
114,837.153,1.23517,2.7381,1.31386,1.30795,0.69059,0.67029,0.73247,0.49205,0.7263,0.62409,0.70968,0.39914,1.13798,2.07114,1.09704,1.15683,0.00944065,0.00944065,0.00944065
115,843.047,1.23079,2.69598,1.27564,1.30335,0.80653,0.6824,0.78659,0.52888,0.81942,0.66728,0.76347,0.41619,1.10606,1.96646,1.00682,1.12523,0.0094357,0.0094357,0.0094357
116,849.066,1.23587,2.73944,1.29037,1.30563,0.81458,0.71023,0.78737,0.52471,0.83909,0.67307,0.7568,0.41734,1.1093,1.95601,1.01539,1.1384,0.00943075,0.00943075,0.00943075
117,855.326,1.21957,2.67355,1.28557,1.30455,0.79461,0.70327,0.78269,0.52648,0.78692,0.69562,0.76041,0.40836,1.08086,1.90306,0.98162,1.11951,0.0094258,0.0094258,0.0094258
118,861.286,1.21276,2.65889,1.26171,1.2957,0.80151,0.7302,0.80234,0.54234,0.79885,0.70521,0.77745,0.42547,1.08211,1.89175,0.97055,1.11793,0.00942085,0.00942085,0.00942085
119,867.522,1.21453,2.6961,1.28043,1.3015,0.78088,0.69779,0.79477,0.55063,0.76463,0.6773,0.76026,0.43257,1.05741,1.8689,0.95964,1.09724,0.0094159,0.0094159,0.0094159
120,873.47,1.23118,2.70549,1.29727,1.30942,0.79799,0.70377,0.77808,0.53449,0.79422,0.67892,0.74925,0.41613,1.08067,1.91884,0.99847,1.10923,0.00941095,0.00941095,0.00941095
121,879.61,1.20929,2.69309,1.27116,1.28557,0.72724,0.69653,0.75551,0.50533,0.71175,0.68055,0.71769,0.39452,1.12927,1.96926,1.05841,1.14455,0.009406,0.009406,0.009406
122,885.888,1.20034,2.63781,1.26265,1.2854,0.71919,0.70641,0.76882,0.50825,0.74221,0.67217,0.74116,0.40901,1.09843,1.90596,1.02202,1.12729,0.00940105,0.00940105,0.00940105
123,893.34,1.20094,2.63243,1.22642,1.28183,0.80311,0.68397,0.7845,0.53369,0.80107,0.67992,0.75912,0.41594,1.08522,1.84403,0.95217,1.12274,0.0093961,0.0093961,0.0093961
124,899.649,1.19456,2.61847,1.23257,1.27932,0.83444,0.657,0.7719,0.54032,0.77291,0.69775,0.75777,0.42658,1.05689,1.88086,0.98673,1.10519,0.00939115,0.00939115,0.00939115
125,905.665,1.21085,2.67596,1.25836,1.29384,0.82858,0.66258,0.77485,0.53881,0.81329,0.67567,0.75865,0.42433,1.07814,1.93052,0.97789,1.11485,0.0093862,0.0093862,0.0093862
126,911.639,1.19095,2.63241,1.23665,1.27866,0.76828,0.71417,0.76898,0.52516,0.74908,0.69228,0.7309,0.4051,1.09327,1.98976,0.9699,1.12681,0.00938125,0.00938125,0.00938125
