epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,10437.8,1.12863,2.5867,1.46249,1.2993,0.42053,0.35155,0.33545,0.1953,0.40683,0.34035,0.31367,0.16679,0.82796,1.57601,1.16889,0.91679,0.009505,0.009505,0.009505
102,10540.9,1.14163,2.67687,1.49333,1.315,0.3886,0.34772,0.33477,0.18851,0.38058,0.33788,0.31202,0.15692,0.83854,1.53963,1.17646,0.92815,0.00950005,0.00950005,0.00950005
103,10642.9,1.15523,2.61773,1.47402,1.32604,0.40585,0.40942,0.36957,0.22711,0.44409,0.37129,0.35736,0.18632,0.77573,1.43471,1.00624,0.87172,0.0094951,0.0094951,0.0094951
104,10744.9,1.10978,2.51992,1.40682,1.27077,0.39139,0.31706,0.32558,0.2009,0.39087,0.3113,0.30713,0.16637,0.81776,1.55963,1.1559,0.90554,0.00949015,0.00949015,0.00949015
105,10849,1.14484,2.59358,1.49137,1.33258,0.44751,0.37021,0.38132,0.23881,0.45886,0.34821,0.35469,0.19469,0.78321,1.50522,1.24423,0.87186,0.0094852,0.0094852,0.0094852
106,10954.2,1.13875,2.59601,1.4619,1.31243,0.40625,0.34422,0.3475,0.21318,0.40677,0.33415,0.31987,0.17209,0.79858,1.5464,1.20441,0.88978,0.00948025,0.00948025,0.00948025
107,11057.4,1.12179,2.57292,1.45614,1.32144,0.51959,0.43688,0.44174,0.25268,0.50533,0.40924,0.39335,0.20152,0.80313,1.48266,1.07228,0.89098,0.0094753,0.0094753,0.0094753
108,11159.1,1.09631,2.51602,1.3969,1.28219,0.39606,0.39055,0.34609,0.20369,0.38839,0.37376,0.32421,0.16691,0.865,1.59921,1.16814,0.94215,0.00947035,0.00947035,0.00947035
109,11262,1.20303,2.69235,1.49585,1.35883,0.49866,0.4037,0.41621,0.25552,0.49477,0.39937,0.39552,0.20369,0.77103,1.41983,1.29571,0.86588,0.0094654,0.0094654,0.0094654
110,11365,1.08772,2.5148,1.39873,1.26067,0.39563,0.39391,0.35221,0.21802,0.39652,0.38142,0.33069,0.17476,0.79986,1.49893,1.19303,0.89239,0.00946045,0.00946045,0.00946045
111,11466.9,1.10006,2.51767,1.42092,1.28517,0.39914,0.38867,0.33455,0.20458,0.39608,0.35847,0.3121,0.16816,0.81561,1.56625,1.61095,0.91323,0.0094555,0.0094555,0.0094555
